bigram,bigram_frequency
بھی میں,3
میں جب,3
میں جرأت,3
ناتوانی سے,3
تھا کم,3
کھینچے پھرو,3
یوں ہوتا,3
بھی عریاں,3
نہ تھی,3
پر نمک,3
نہیں کہ,3
کا خیال,3
وعدہ نہ,3
کوچے سے,3
کیوں رات,3
سوئے غیر,3
نہیں یہ,3
کا جہاں,3
تک ہر,3
سکتا نہیں,3
معنی نہ,3
محفل جو,3
سکتا کہ,3
سکتا ہے,3
یوں بے,3
یوں تو,3
جی میں,3
مغرب کے,3
حال دل,3
کوئی پوچھے,3
رہی نہ,3
ہم پہ,3
ہیں نظر,3
قید حیات,3
توڑا جو,3
حجاب میں,3
وصل و,3
یعنی ہم,3
قیس تصویر,3
برا نہ,3
ہم نہیں,3
کیوں کر,3
میرے دل,3
آرزو توڑا,3
حال ہر,3
کوئی غم,3
قطرہ نہ,3
برق خرمن,3
دوا نہ,3
ہیں اب,3
پوچھے تم,3
سو طوفاں,3
میں اے,3
آج ہم,3
میری نعش,3
ہم لوگ,3
حسرت زدہ,3
سہی گر,3
تھا دفینہ,3
ہیں آج,3
تھا شوق,3
بھی تو,3
امام سے,3
رہ گزر,3
تھا عشقِ,3
قدم میرا,3
قرض اس,3
ہیں بسکہ,3
ہیں جہاں,3
ہیں تیرے,3
نازک پہ,3
سو پریشاں,3
کا بہ,3
معلوم لیکن,3
اندوہِ عشق,3
دو کہ,3
دیدہ و,3
کا بندہ,3
نیند کیوں,3
معلوم آہ,3
نیم باز,3
سو وہ,3
گزر گیا,3
قسمت کی,3
ناز کا,3
میں اور,3
جگر کو,3
و مستی,3
نہ بابِ,3
مر جائیں,3
سے نکلا,3
رنگ سے,3
جانتے تھے,3
جانتا ہے,3
گہر کو,3
مرنے پہ,3
گم کیا,3
ہوا کس,3
سے نہیں,3
و تاب,3
و بے,3
پہ کسی,3
ہوا پایا,3
میں منہ,3
و بو,3
گم کیجے,3
ہوا نہ,3
و بند,3
گم گشتہ,3
بہ یک,3
پہ ہم,3
بات کہ,3
میں مرا,3
رنگ شکستہ,3
رنگ میں,3
گلشن میں,3
پہ قرض,3
اگر پڑا,3
میں ہر,3
جاں گداز,3
ہو چکا,3
طلبگارِ مرد,3
باد نہیں,3
کہیں گے,3
ہو کر,3
میں مر,3
باد صبا,3
میں لے,3
چراغاں کا,3
کی گرمی,3
یہ لاشِ,3
گہر ہائے,3
و جاں,3
و جام,3
کی انجمن,3
ایسی کہ,3
کی جستجو,3
سے ٹپکتا,3
نکلا سو,3
بیاباں میں,3
نکلا قیس,3
ہوئے ہیں,3
گوش منت,3
تیز میں,3
نے یہ,3
کی سلطنت,3
جائیں سو,3
ہوئے پھر,3
تیغ آب,3
سے چھوٹوں,3
نکلا زخم,3
رب یہ,3
مزا نہ,3
نکلا تھا,3
نکلا بوئے,3
تیغ و,3
نے کی,3
ہوئی مدت,3
پیشہ طلبگارِ,3
سے گزری,3
جائے گی,3
یہ نہ,3
یہ کس,3
سے ہاتھ,3
یہ وقت,3
ہوا دیکھا,3
بابِ نبرد,3
یہ کام,3
آ گئی,3
ایک ایک,3
ایک بات,3
طوفاں نکلا,3
گھر کو,3
تیز تیز,3
راضی نہ,3
راضی کہ,3
گو نہ,3
ایک دن,3
جاتی ہیں,3
سے پیار,3
تیرے کوچے,3
جاتا ہے,3
جاتا ہوں,3
میں ہمارے,3
سے مجھے,3
بیٹھے ہیں,3
فنا ہے,3
ہوں تو,3
یہ جانتا,3
میں رہے,3
ہوں ترے,3
پھرتا ہے,3
جلتا ہوں,3
غیر کی,3
کہ پھر,3
مے و,3
و شام,3
نے زخم,3
کہ کبھی,3
پھرو کہ,3
آب دار,3
اپنے پہ,3
کہ گم,3
کہ ہر,3
ہوگی آہ,3
یہ حال,3
دیکھ کہ,3
نمک چھڑکا,3
غیر نظر,3
بے حجابی,3
کہ صحرا,3
دیدہ ہے,3
مر نہ,3
طبیعت نے,3
بے ذوق,3
کیا مزا,3
و مینا,3
جنونِ عشق,3
مر کے,3
سے ترا,3
جنبشِ لب,3
دیوار و,3
بے دماغ,3
کہ غالب,3
جن سے,3
نے داد,3
سے تیرے,3
چھوٹوں وہ,3
اپنا دل,3
جلوۂ گل,3
دینا پڑا,3
کہ ہو,3
دیکھ کے,3
ہوتا غم,3
تیری تو,3
دیکھی نالہ,3
و دنداں,3
کہو کہ,3
ہوتے ہیں,3
فقط مستی,3
و در,3
گل کے,3
گل ہائے,3
کی ہیں,3
سے لیکن,3
بار ہا,3
نوا ہائے,3
کی ہو,3
بادہ و,3
گل ہے,3
بادہ سے,3
ہوتا نہ,3
و خم,3
بہ قدر,3
تیری زندگی,3
کی یہ,3
کہنا کہ,3
اچھل رہے,3
سے شیشے,3
جس میں,3
روزگار تھا,3
کہ یک,3
تیر بھی,3
آئے وہ,3
آئے نہ,3
روزن میں,3
دیکھا گم,3
کیا بے,3
روز جزا,3
جذب مسلمانی,3
سے طبیعت,3
چمن کا,3
کہاں کچھ,3
سے غالب,3
جرأت آزما,3
سے غالبؔ,3
چمن سے,3
اک شور,3
و رباب,3
دن کو,3
ہائے تیز,3
تو ہوں,3
ہاتھ میں,3
مجھ پر,3
نہیں سکتا,3
کرتے ہو,3
ساغر ہی,3
دل معلوم,3
وہ لفظ,3
ملک کو,3
کا کاوش,3
کام یاروں,3
کو اپنے,3
ساغر و,3
یاد آتا,3
دل پسند,3
خدا کرے,3
دل کرے,3
کرتے ہیں,3
پر یاد,3
شور اٹھایا,3
ہجر میں,3
کام بھی,3
کرسکے زنداں,3
بلا سے,3
سر و,3
ہے خیال,3
تو بھی,3
نعش کو,3
دشوار پسند,3
یا مجھے,3
ہزار بار,3
ہے غم,3
نہیں آتا,3
پر یہ,3
تم کہ,3
ترے وعدہ,3
نہیں غالب,3
کرتا تھا,3
نہ کیوں,3
آہ بے,3
عشق نے,3
آہ جو,3
شیشے اچھل,3
دل گزر,3
سادگی و,3
ہے مجھ,3
داد نہ,3
ہشیاری حسن,3
دل ہوں,3
غالب ہمیں,3
دل ہی,3
ملت کے,3
عشق میں,3
کر نہیں,3
وہ راز,3
خدا نے,3
لفظ کہ,3
اسدِ خستہ,3
یاد نہیں,3
شیشہ باز,3
دشمن ہے,3
صرفہ ہے,3
کو برا,3
کر کے,3
خبر نہیں,3
تو سمجھا,3
زمیں سے,3
کر کوئی,3
اثر دیکھی,3
کو تغافل,3
